Laut_1,Port 1,Port 1,Port 2,Port 2,Port 3,Port 3,Port 4,Port 4
6309 records,5TM Moisture/Temp,5TM Moisture/Temp,10HS Soil Moisture,10HS Soil Moisture,5TM Moisture/Temp,5TM Moisture/Temp,5TM Moisture/Temp,5TM Moisture/Temp
Time_UTC,P1_VWC-15,P1_Temp-15,P2_VWC-5,P2_Temp-5,P3_VWC-15,P3_Temp-15,P4_VWC-5,P4_Temp-5
04/08/2015 07:00:00,0.161829754710197,16.2999992370605,0.293285846710205,NA,0.172436356544495,13.8999996185303,0.143338575959206,14.1000003814697
04/08/2015 07:15:00,0.160590752959251,16.2000007629395,NA,NA,0.172032743692398,13.8999996185303,0.143766492605209,14
04/08/2015 07:30:00,0.159762978553772,16.2000007629395,NA,NA,0.172032743692398,14,0.144194051623344,14
04/08/2015 07:45:00,0.159762978553772,16.2000007629395,NA,NA,0.172032743692398,14,0.144194051623344,14
04/08/2015 08:00:00,0.159762978553772,16.2000007629395,NA,NA,0.172032743692398,14,0.144194051623344,14
04/08/2015 08:15:00,0.159762978553772,16.2000007629395,NA,NA,0.172032743692398,14.1000003814697,0.144194051623344,14
04/08/2015 08:30:00,0.159762978553772,16.2000007629395,NA,NA,0.172032743692398,14.1000003814697,0.143766492605209,14
04/08/2015 08:45:00,0.159762978553772,16.2000007629395,0.379226624965668,NA,0.172032743692398,14.1999998092651,0.144194051623344,14
04/08/2015 09:00:00,0.159762978553772,16.2000007629395,0.299492537975311,NA,0.172032743692398,14.3000001907349,0.143766492605209,14
04/08/2015 09:30:00,0.160177037119865,16.2000007629395,0.298531383275986,NA,0.171628788113594,14.5,0.144194051623344,14
04/08/2015 09:45:00,0.160177037119865,16.2000007629395,0.29709404706955,NA,0.171628788113594,14.6000003814697,0.143766492605209,14
04/08/2015 10:00:00,0.159762978553772,16.2000007629395,0.297572553157806,NA,0.171628788113594,14.8000001907349,0.143766492605209,14
04/08/2015 10:15:00,0.160177037119865,16.2999992370605,0.298531383275986,NA,0.171628788113594,14.8999996185303,0.143766492605209,14
04/08/2015 10:30:00,0.160177037119865,16.2999992370605,0.298531383275986,NA,0.171628788113594,15.1000003814697,0.144194051623344,14
04/08/2015 10:45:00,0.160177037119865,16.2999992370605,0.298051685094833,NA,0.171628788113594,15.3000001907349,0.143766492605209,14.1000003814697
04/08/2015 11:00:00,0.160177037119865,16.3999996185303,0.299011647701263,NA,0.171628788113594,15.3999996185303,0.143766492605209,14.1000003814697
04/08/2015 11:15:00,0.160177037119865,16.3999996185303,0.300456166267395,NA,0.171224489808083,15.6000003814697,0.143766492605209,14.1000003814697
04/08/2015 11:30:00,0.160177037119865,16.5,0.302390903234482,NA,0.171224489808083,15.6999998092651,0.144194051623344,14.1000003814697
04/08/2015 12:00:00,0.160177037119865,16.6000003814697,0.299974054098129,NA,0.171224489808083,15.8999996185303,0.144194051623344,14.1999998092651
04/08/2015 12:15:00,0.160590752959251,16.6000003814697,0.298531383275986,NA,0.171224489808083,16.1000003814697,0.144194051623344,14.1999998092651
04/08/2015 12:30:00,0.160590752959251,16.7000007629395,0.298531383275986,NA,0.171224489808083,16.2000007629395,0.144194051623344,14.3000001907349
04/08/2015 12:45:00,0.160590752959251,16.7000007629395,0.299974054098129,NA,0.170819848775864,16.2999992370605,0.144194051623344,14.3000001907349
04/08/2015 13:00:00,0.160590752959251,16.7999992370605,0.298051685094833,NA,0.170819848775864,16.5,0.144194051623344,14.3999996185303
04/08/2015 13:15:00,0.160590752959251,16.7999992370605,0.297572553157806,NA,0.170819848775864,16.6000003814697,0.144194051623344,14.3999996185303
04/08/2015 13:30:00,0.160590752959251,16.8999996185303,0.299492537975311,NA,0.170819848775864,16.7999992370605,0.144194051623344,14.3999996185303
04/08/2015 13:45:00,0.160590752959251,17,0.298531383275986,NA,0.170819848775864,16.8999996185303,0.144194051623344,14.5
04/08/2015 14:00:00,0.160590752959251,17,0.300456166267395,NA,0.170819848775864,17,0.144194051623344,14.5
04/08/2015 14:30:00,0.161004096269608,17.2000007629395,0.300938904285431,NA,0.170414850115776,17,0.144194051623344,14.6000003814697
04/08/2015 14:45:00,0.161004096269608,17.2000007629395,0.301906257867813,NA,0.170414850115776,17.1000003814697,0.144194051623344,14.6000003814697
04/08/2015 15:00:00,0.161004096269608,17.2000007629395,0.291866511106491,NA,0.170009523630142,17.1000003814697,0.144194051623344,14.6999998092651
04/08/2015 15:15:00,0.161004096269608,17.2999992370605,0.290922790765762,NA,0.170009523630142,17.2000007629395,0.144194051623344,14.6999998092651
04/08/2015 15:30:00,0.161004096269608,17.2999992370605,0.290922790765762,NA,0.170009523630142,17.2000007629395,0.144194051623344,14.6999998092651
04/08/2015 15:45:00,0.161417111754417,17.3999996185303,0.290922790765762,NA,0.170009523630142,17.2999992370605,0.144194051623344,14.8000001907349
04/08/2015 16:00:00,0.161004096269608,17.3999996185303,0.290922790765762,NA,0.170009523630142,17.2999992370605,0.144194051623344,14.8000001907349
04/08/2015 16:15:00,0.161004096269608,17.5,0.292339116334915,NA,0.16960383951664,17.3999996185303,0.144194051623344,14.8000001907349
04/08/2015 16:30:00,0.161417111754417,17.5,0.29281222820282,NA,0.16960383951664,17.3999996185303,0.144194051623344,14.8999996185303
04/08/2015 17:00:00,0.161417111754417,17.6000003814697,0.298051685094833,NA,0.169197797775269,17.2999992370605,0.144621253013611,14.8999996185303
04/08/2015 17:15:00,0.161417111754417,17.6000003814697,0.29281222820282,NA,0.169197797775269,17.2999992370605,0.144194051623344,14.8999996185303
